title,category,description
Austria,for,"<br><br><p><i>As per the European Union statement: </i></p><p> Major challenges for law enforcement, we need to accelerate the implementation of the 7 chapters of the UNGASS outcome document in order to progress towards achieving the SDGs. </p><a href='http://cndblog.org/2020/03/opening-of-the-63rd-session-of-the-commission-on-narcotic-drugs/'>Statement in context</a>"
Bahrain,for,<p> We embrace the SDGs to achieve our strategic plans. </p><a href='http://cndblog.org/2020/03/opening-of-the-63rd-session-of-the-commission-on-narcotic-drugs/'>Statement in context</a>
Belgium,for,"<br><br><p><i>As per the European Union statement: </i></p><p> Major challenges for law enforcement, we need to accelerate the implementation of the 7 chapters of the UNGASS outcome document in order to progress towards achieving the SDGs. </p><a href='http://cndblog.org/2020/03/opening-of-the-63rd-session-of-the-commission-on-narcotic-drugs/'>Statement in context</a>"
Bulgaria,for,"<br><br><p><i>As per the European Union statement: </i></p><p> Major challenges for law enforcement, we need to accelerate the implementation of the 7 chapters of the UNGASS outcome document in order to progress towards achieving the SDGs. </p><a href='http://cndblog.org/2020/03/opening-of-the-63rd-session-of-the-commission-on-narcotic-drugs/'>Statement in context</a>"
Croatia,for,"<br><br><p><i>As per the European Union statement: </i></p><p> Major challenges for law enforcement, we need to accelerate the implementation of the 7 chapters of the UNGASS outcome document in order to progress towards achieving the SDGs. </p><a href='http://cndblog.org/2020/03/opening-of-the-63rd-session-of-the-commission-on-narcotic-drugs/'>Statement in context</a>"
Cyprus,for,"<br><br><p><i>As per the European Union statement: </i></p><p> Major challenges for law enforcement, we need to accelerate the implementation of the 7 chapters of the UNGASS outcome document in order to progress towards achieving the SDGs. </p><a href='http://cndblog.org/2020/03/opening-of-the-63rd-session-of-the-commission-on-narcotic-drugs/'>Statement in context</a>"
Czech Republic,for,"<br><br><p><i>As per the European Union statement: </i></p><p> Major challenges for law enforcement, we need to accelerate the implementation of the 7 chapters of the UNGASS outcome document in order to progress towards achieving the SDGs. </p><a href='http://cndblog.org/2020/03/opening-of-the-63rd-session-of-the-commission-on-narcotic-drugs/'>Statement in context</a>"
Denmark,for,"<br><br><p><i>As per the European Union statement: </i></p><p> Major challenges for law enforcement, we need to accelerate the implementation of the 7 chapters of the UNGASS outcome document in order to progress towards achieving the SDGs. </p><a href='http://cndblog.org/2020/03/opening-of-the-63rd-session-of-the-commission-on-narcotic-drugs/'>Statement in context</a>"
Estonia,for,"<br><br><p><i>As per the European Union statement: </i></p><p> Major challenges for law enforcement, we need to accelerate the implementation of the 7 chapters of the UNGASS outcome document in order to progress towards achieving the SDGs. </p><a href='http://cndblog.org/2020/03/opening-of-the-63rd-session-of-the-commission-on-narcotic-drugs/'>Statement in context</a>"
Finland,for,"<br><br><p><i>As per the European Union statement: </i></p><p> Major challenges for law enforcement, we need to accelerate the implementation of the 7 chapters of the UNGASS outcome document in order to progress towards achieving the SDGs. </p><a href='http://cndblog.org/2020/03/opening-of-the-63rd-session-of-the-commission-on-narcotic-drugs/'>Statement in context</a>"
France,for,"<br><br><p><i>As per the European Union statement: </i></p><p> Major challenges for law enforcement, we need to accelerate the implementation of the 7 chapters of the UNGASS outcome document in order to progress towards achieving the SDGs. </p><a href='http://cndblog.org/2020/03/opening-of-the-63rd-session-of-the-commission-on-narcotic-drugs/'>Statement in context</a>"
Germany,for,"<p> Germany will also continue to meet its commitments in alternative development, because progressive drug policy must also mean sustainable development policy. Without this, the SDGs can’t be reached </p><a href='http://cndblog.org/2020/03/opening-of-the-63rd-session-of-the-commission-on-narcotic-drugs/'>Statement in context</a><br><br><p><i>As per the European Union statement: </i></p><p> Major challenges for law enforcement, we need to accelerate the implementation of the 7 chapters of the UNGASS outcome document in order to progress towards achieving the SDGs. </p><a href='http://cndblog.org/2020/03/opening-of-the-63rd-session-of-the-commission-on-narcotic-drugs/'>Statement in context</a>"
Greece,for,"<br><br><p><i>As per the European Union statement: </i></p><p> Major challenges for law enforcement, we need to accelerate the implementation of the 7 chapters of the UNGASS outcome document in order to progress towards achieving the SDGs. </p><a href='http://cndblog.org/2020/03/opening-of-the-63rd-session-of-the-commission-on-narcotic-drugs/'>Statement in context</a>"
Hungary,for,"<br><br><p><i>As per the European Union statement: </i></p><p> Major challenges for law enforcement, we need to accelerate the implementation of the 7 chapters of the UNGASS outcome document in order to progress towards achieving the SDGs. </p><a href='http://cndblog.org/2020/03/opening-of-the-63rd-session-of-the-commission-on-narcotic-drugs/'>Statement in context</a>"
