title,category,description
Argentina,for,"<p> Argentina recognizes that the adequate availability of internationally controlled substances for medical and scientific purposes is an essential element of the right to health, and it is essential to strike a balance between the availability of the aforementioned substances for these purposes and the need to avoid the diversion of them towards illicit purposes. </p><a href='http://cndblog.org/2020/03/opening-of-the-63rd-session-of-the-commission-on-narcotic-drugs/'>Statement in context</a>"
Australia ,for,<p> We encourage countries to work on the availability and access of controlled substances for medical purposes. </p><a href='http://cndblog.org/2020/03/plenary-item-12-adoption-of-the-report-of-the-commission-on-its-sixty-third-session/'>Statement in context</a><br><br><p>Australia remains particularly concerned about the global inequality in access to controlled substances given that almost 80% of the world’s population lacks adequate access to pain relief</p><a href='http://cndblog.org/2020/03/opening-of-the-63rd-session-of-the-commission-on-narcotic-drugs/'>Statement in context</a>for
Belgium,for,<p> We encourage countries to work on the availability and access of controlled substances for medical purposes.  </p><a href='http://cndblog.org/2020/03/plenary-item-12-adoption-of-the-report-of-the-commission-on-its-sixty-third-session/'>Statement in context</a>
Ecuador,for,<p>we guarantee access to controlled substances for people who need them.</p><a href='http://cndblog.org/2020/03/item-3-general-debate-continued/'>Statement in context</a>for
El Salvador,for,"<p> It is very important, in keeping with UNGASS 2016, that substances remain available for scientific and medical purposes, which is why we’re proposing a resolution in this regard. </p><a href='http://cndblog.org/2020/03/opening-of-the-63rd-session-of-the-commission-on-narcotic-drugs/'>Statement in context</a>"
Jamaica,for,"<p> Jamaica is also encouraged by the UNODC, WHO for work in access to controlled substances, particularly for hospice and palliative care. This presently remains woefully inadequate.  </p><a href='http://cndblog.org/2020/03/plenary-item-7-inter-agency-cooperation-and-coordination-of-efforts-in-addressing-and-countering-the-world-drug-problem/'>Statement in context</a><br><br> <p> Continued delays will not improve access for patients to palliative care and other forms of illness, such as wasting syndrome, epilepsy. They deserve this alternative where other options have failed. </p><a href='http://cndblog.org/2020/03/item-5-implementation-of-the-international-drug-control-treaties-continued/'>Statement in context</a>"
Kenya,for,<p> Control on abuse of pharmaceutical drugs through monitoring and surveillance has led to the recall and rescheduling of certain substances. Kenya is focussed on ensuring affordability and availability of controlled medicines while ensuring efficacy. </p><a href='http://cndblog.org/2020/03/plenary-item-6-follow-up-to-the-implementation-at-the-national-regional-and-international-levels-of-all-commitments-as-reflected-in-the-ministerial-declaration-of-2019-to-address-and-counter-the-3/'>Statement in context</a
Nepal,for,<p>We are committed to further achieve adequate access and availability of controlled substances for medical and scientific purposes while preventing their diversion.</p><a href='http://cndblog.org/2020/03/item-3-general-debate-continued/'>Statement in context</a>for
Russia,for,"<p>Access to narcotic drugs and psychotropic substances for those who need them for medical purposes has been established in our country as a government priority. Budget legislation 2019-24 has provided a separate budget line to carry out measures necessary to ensure patients have necessary medical equipment and medicines, this includes pain relievers.</p><a href='http://cndblog.org/2020/03/item-5-implementation-of-the-international-drug-control-treaties-continued/'>Statement in context</a>for"
Singapore,for,"<p> We are supportive of measures to ensure the availability and access of controlled substances for medical and scientific uses. However, we would like to reiterate our concerns that the ECDDA’s recommendations will lose the controls over cannabis, leading to a widening public access and cause serious public health and safety issues. </p><a href='http://cndblog.org/2020/03/item-5-implementation-of-the-international-drug-control-treaties-continued/'>Statement in context</a>"
Switzerland,for,"<p> Switzerland places health at the heart of its drug policy, which is why we find it intolerable to note the suffering lived through by millions of people not given assistance – even palliative care. </p><a href='http://cndblog.org/2020/03/item-5-implementation-of-the-international-drug-control-treaties-continued/'>Statement in context</a>"
Turkey,for,"<p> Under the coordination of the Ministry of Health, tangible progress has been achieved in the provision of better public services in the treatment and rehabilitation fields as well as availability of the controlled substances. </p><a href='http://cndblog.org/2020/03/opening-of-the-63rd-session-of-the-commission-on-narcotic-drugs/'>Statement in context</a>"
United Kingdom,for,"<p> Collectively, we must also strengthen efforts to make material progress in increasing access to controlled medicines, in accordance with the Global Goals 2030 roadmap and WHO’s Roadmap for Access to Medicines (2019-2023). </p><a href='http://cndblog.org/2020/03/opening-of-the-63rd-session-of-the-commission-on-narcotic-drugs/'>Statement in context</a>"
United States,for,<p>No person should suffer unnecessarily from untreated pain or be denied needed medicines</p><a href='http://cndblog.org/2020/03/item-5-implementation-of-the-international-drug-control-treaties-continued/'>Statement in context</a>for
