title,category,description
Austria,for,"<br><br><p><i>As per the European Union statement: </i></p><p> We are committed to address the world drug problem in a way which focuses on a broad range of policy issues; we will continue to focus on health and harm reduction, treatment, rehabilitation, social reintegration and recovery. </p><a href='http://cndblog.org/2020/03/plenary-item-7-inter-agency-cooperation-and-coordination-of-efforts-in-addressing-and-countering-the-world-drug-problem/'>Statement in context</a>"
Belgium,for,"<br><br><p><i>As per the European Union statement: </i></p><p> We are committed to address the world drug problem in a way which focuses on a broad range of policy issues; we will continue to focus on health and harm reduction, treatment, rehabilitation, social reintegration and recovery. </p><a href='http://cndblog.org/2020/03/plenary-item-7-inter-agency-cooperation-and-coordination-of-efforts-in-addressing-and-countering-the-world-drug-problem/'>Statement in context</a>"
Bulgaria,for,"<br><br><p><i>As per the European Union statement: </i></p><p> We are committed to address the world drug problem in a way which focuses on a broad range of policy issues; we will continue to focus on health and harm reduction, treatment, rehabilitation, social reintegration and recovery. </p><a href='http://cndblog.org/2020/03/plenary-item-7-inter-agency-cooperation-and-coordination-of-efforts-in-addressing-and-countering-the-world-drug-problem/'>Statement in context</a>"
Canada,for,<p> Harm Reduction is a significant aspect of Canada’s intervention. This includes supervised consumption rooms and overdose prevention centres. </p><a href='http://cndblog.org/2020/03/item-3-general-debate-continued/'>Statement in context</a
Costa Rica,for,"<p> for some time now we have been working on a model programme, which is a harm reduction.  </p><a href='http://cndblog.org/2020/03/item-3-general-debate-continued/'>Statement in context</a"
Croatia,for,"<br><br><p><i>As per the European Union statement: </i></p><p> We are committed to address the world drug problem in a way which focuses on a broad range of policy issues; we will continue to focus on health and harm reduction, treatment, rehabilitation, social reintegration and recovery. </p><a href='http://cndblog.org/2020/03/plenary-item-7-inter-agency-cooperation-and-coordination-of-efforts-in-addressing-and-countering-the-world-drug-problem/'>Statement in context</a>"
Cyprus,for,"<br><br><p><i>As per the European Union statement: </i></p><p> We are committed to address the world drug problem in a way which focuses on a broad range of policy issues; we will continue to focus on health and harm reduction, treatment, rehabilitation, social reintegration and recovery. </p><a href='http://cndblog.org/2020/03/plenary-item-7-inter-agency-cooperation-and-coordination-of-efforts-in-addressing-and-countering-the-world-drug-problem/'>Statement in context</a>"
Czech Republic,for,"<p> should work together to increase collective efforts o ensure safety health and wellbeing – access to health care, reduce harms from drug use and respect human rights. </p><a href='http://cndblog.org/2020/03/opening-of-the-63rd-session-of-the-commission-on-narcotic-drugs/'>Statement in context</a<br><br><p><i>As per the European Union statement: </i></p><p> We are committed to address the world drug problem in a way which focuses on a broad range of policy issues; we will continue to focus on health and harm reduction, treatment, rehabilitation, social reintegration and recovery. </p><a href='http://cndblog.org/2020/03/plenary-item-7-inter-agency-cooperation-and-coordination-of-efforts-in-addressing-and-countering-the-world-drug-problem/'>Statement in context</a>"
Denmark,for,"<br><br><p><i>As per the European Union statement: </i></p><p> We are committed to address the world drug problem in a way which focuses on a broad range of policy issues; we will continue to focus on health and harm reduction, treatment, rehabilitation, social reintegration and recovery. </p><a href='http://cndblog.org/2020/03/plenary-item-7-inter-agency-cooperation-and-coordination-of-efforts-in-addressing-and-countering-the-world-drug-problem/'>Statement in context</a>"
Estonia,for,"<br><br><p><i>As per the European Union statement: </i></p><p> We are committed to address the world drug problem in a way which focuses on a broad range of policy issues; we will continue to focus on health and harm reduction, treatment, rehabilitation, social reintegration and recovery. </p><a href='http://cndblog.org/2020/03/plenary-item-7-inter-agency-cooperation-and-coordination-of-efforts-in-addressing-and-countering-the-world-drug-problem/'>Statement in context</a>"
