title,category,description
Argentina,for,"<p> We understand that it is a priority to respect, protect and promote all human rights, fundamental freedoms and the rule of law when formulating and implementing drug policies. </p><a href='http://cndblog.org/2020/03/opening-of-the-63rd-session-of-the-commission-on-narcotic-drugs/'>Statement in context</a>"
Austria,for,<br><br><p><i>As per the European Union statement: </i></p><p> We emphasize all MS must oblige and protect human rights of all individuals in the development and implementation of all drug policies. </p><a href='http://cndblog.org/2020/03/opening-of-the-63rd-session-of-the-commission-on-narcotic-drugs/'>Statement in context</a>
Belgium,for,<br><br><p><i>As per the European Union statement: </i></p><p> We emphasize all MS must oblige and protect human rights of all individuals in the development and implementation of all drug policies. </p><a href='http://cndblog.org/2020/03/opening-of-the-63rd-session-of-the-commission-on-narcotic-drugs/'>Statement in context</a>
Bulgaria,for,<br><br><p><i>As per the European Union statement: </i></p><p> We emphasize all MS must oblige and protect human rights of all individuals in the development and implementation of all drug policies. </p><a href='http://cndblog.org/2020/03/opening-of-the-63rd-session-of-the-commission-on-narcotic-drugs/'>Statement in context</a>
Canada,for,<p> It is critical that these measures be taken in conformity with national and international human rights obligations </p><a href='http://cndblog.org/2020/03/item-3-general-debate-continued/'>Statement in context</a>
Chile,for,"<p>Rehabilitation and social reintegration should be efficient and effective, respecting human rights to achieve our common goals.</p><a href='http://cndblog.org/2020/03/opening-of-the-63rd-session-of-the-commission-on-narcotic-drugs/'>Statement in context</a>"
Costa Rica,for,<p> The world drug problem is a human rights problem </p><a href='http://cndblog.org/2020/03/item-3-general-debate-continued/'>Statement in context</a>
Croatia,for,<br><br><p><i>As per the European Union statement: </i></p><p> We emphasize all MS must oblige and protect human rights of all individuals in the development and implementation of all drug policies. </p><a href='http://cndblog.org/2020/03/opening-of-the-63rd-session-of-the-commission-on-narcotic-drugs/'>Statement in context</a>
Cyprus,for,<br><br><p><i>As per the European Union statement: </i></p><p> We emphasize all MS must oblige and protect human rights of all individuals in the development and implementation of all drug policies. </p><a href='http://cndblog.org/2020/03/opening-of-the-63rd-session-of-the-commission-on-narcotic-drugs/'>Statement in context</a>
Czech Republic,for,"<p> should work together to increase collective efforts o ensure safety health and wellbeing – access to health care, reduce harms from drug use and respect human rights. </p><a href='http://cndblog.org/2020/03/opening-of-the-63rd-session-of-the-commission-on-narcotic-drugs/'>Statement in context</a><br><br><p><i>As per the European Union statement: </i></p><p> We emphasize all MS must oblige and protect human rights of all individuals in the development and implementation of all drug policies. </p><a href='http://cndblog.org/2020/03/opening-of-the-63rd-session-of-the-commission-on-narcotic-drugs/'>Statement in context</a>"
