title,category,description,,
Chile,against,<p> Government of Chile does not support the legalisation or cultivation of marijuana for medicinal purposes. </p><a href='http://cndblog.org/2020/03/item-5-implementation-of-the-international-drug-control-treaties-continued/'>Statement in context</a>,Government of Chile does not support the legalisation or cultivation of marijuana for medicinal purposes.,http://cndblog.org/2020/03/item-5-implementation-of-the-international-drug-control-treaties-continued/
China,against,<p> Member States can adapt their drug control systems to their national realities but we oppose legalisation. </p><a href='http://cndblog.org/2020/03/opening-of-the-63rd-session-of-the-commission-on-narcotic-drugs/'>Statement in context</a>,Member States can adapt their drug control systems to their national realities but we oppose legalisation.,http://cndblog.org/2020/03/opening-of-the-63rd-session-of-the-commission-on-narcotic-drugs/
Cuba,against,"<p> Through legalisation, assuming that drugs are harmless, would also be counter-productive – implying that states are not in a position to comply with their obligations to protect health. We are not in favour of this approach, which opens up greater dangers for our countries. </p><a href='http://cndblog.org/2020/03/opening-of-the-63rd-session-of-the-commission-on-narcotic-drugs/'>Statement in context</a>","Through legalisation, assuming that drugs are harmless, would also be counter-productive – implying that states are not in a position to comply with their obligations to protect health. We are not in favour of this approach, which opens up greater dangers for our countries.",http://cndblog.org/2020/03/opening-of-the-63rd-session-of-the-commission-on-narcotic-drugs/
Japan,against,<p> We are concerned about the increase in countries that have legalised the use of cannabis for non-medical use. </p><a href='http://cndblog.org/2020/03/plenary-item-5-implementation-of-the-international-drug-control-treaties/'>Statement in context</a>,We are concerned about the increase in countries that have legalised the use of cannabis for non-medical use.,http://cndblog.org/2020/03/plenary-item-5-implementation-of-the-international-drug-control-treaties/
Kenya,against,<p> We echo our strongest opposition to any attempt to push for any legislation of cannabis and other substances for any reasons other than medical purposes. The majority of developing countries are yet to develop enforcement mechanisms and legalising these substances will strain already weak systems. </p><a href='http://cndblog.org/2020/03/item-3-general-debate-continued/'>Statement in context</a>,We echo our strongest opposition to any attempt to push for any legislation of cannabis and other substances for any reasons other than medical purposes. The majority of developing countries are yet to develop enforcement mechanisms and legalising these substances will strain already weak systems.,http://cndblog.org/2020/03/item-3-general-debate-continued/
Nigeria,against,<p> Legalisation of non-medical use is a violation on International obligations of drug control treaty. </p><a href='http://cndblog.org/2020/03/item-5-implementation-of-the-international-drug-control-treaties-continued/'>Statement in context</a>,Legalisation of non-medical use is a violation on International obligations of drug control treaty.,http://cndblog.org/2020/03/item-5-implementation-of-the-international-drug-control-treaties-continued/
Palestine,against,<p> The legalisation of non-medical use of cannabis is a violation of the international obligations under the drug control treaties.  </p><a href='http://cndblog.org/2020/03/item-5-implementation-of-the-international-drug-control-treaties-continued/'>Statement in context</a>,The legalisation of non-medical use of cannabis is a violation of the international obligations under the drug control treaties. ,http://cndblog.org/2020/03/item-5-implementation-of-the-international-drug-control-treaties-continued/
Qatar,against,"<p> We denounce the legalisation of recreational cannabis, as it threatens the wellbeing of societies. </p><a href='http://cndblog.org/2020/03/opening-of-the-63rd-session-of-the-commission-on-narcotic-drugs/'>Statement in context</a>","We denounce the legalisation of recreational cannabis, as it threatens the wellbeing of societies.",http://cndblog.org/2020/03/opening-of-the-63rd-session-of-the-commission-on-narcotic-drugs/
Russia,against,<p>Russia rejects legalising narcotics.</p><a href='http://cndblog.org/2020/03/opening-of-the-63rd-session-of-the-commission-on-narcotic-drugs/'>Statement in context</a>,Russia rejects legalising narcotics.,http://cndblog.org/2020/03/opening-of-the-63rd-session-of-the-commission-on-narcotic-drugs/
Syrian Arab Republic,against,"<p> Some countries have legalised cannabis for non-med purposes – this violates conventions, 2009 PD and 2016 Outcome doc. </p><a href='http://cndblog.org/2020/03/opening-of-the-63rd-session-of-the-commission-on-narcotic-drugs/'>Statement in context</a>","Some countries have legalised cannabis for non-med purposes – this violates conventions, 2009 PD and 2016 Outcome doc.",http://cndblog.org/2020/03/opening-of-the-63rd-session-of-the-commission-on-narcotic-drugs/
Thailand,against,<p> We do reaffirm our commitment to the ASEAN’s stand against legalization of narcotic drugs for non-medical and scientific use. </p><a href='http://cndblog.org/2020/03/opening-of-the-63rd-session-of-the-commission-on-narcotic-drugs/'>Statement in context</a>,We do reaffirm our commitment to the ASEAN’s stand against legalization of narcotic drugs for non-medical and scientific use.,http://cndblog.org/2020/03/opening-of-the-63rd-session-of-the-commission-on-narcotic-drugs/
Vietnam,against,"<p> Viet Nam fully supports the position of ASEAN and some members states on a zero-tolerance attitude towards drugs; being resolute against the legalization of drug use, striving for the realization of a drug-free ASEAN community </p><a href='http://cndblog.org/2020/03/opening-of-the-63rd-session-of-the-commission-on-narcotic-drugs/'>Statement in context</a>","Viet Nam fully supports the position of ASEAN and some members states on a zero-tolerance attitude towards drugs; being resolute against the legalization of drug use, striving for the realization of a drug-free ASEAN community",http://cndblog.org/2020/03/opening-of-the-63rd-session-of-the-commission-on-narcotic-drugs/
Canada,for,<p> Canada continues to implement our strict regulatory framework for cannabis as a domestic public health approach </p><a href='http://cndblog.org/2020/03/item-3-general-debate-continued/'>Statement in context</a>,Canada continues to implement our strict regulatory framework for cannabis as a domestic public health approach,http://cndblog.org/2020/03/item-3-general-debate-continued/
New Zealand,for,<p> In 2020 we will hold a referendum on the regulation of  cannabis for personal use in September </p><a href='http://cndblog.org/2020/03/opening-of-the-63rd-session-of-the-commission-on-narcotic-drugs/'>Statement in context</a>,In 2020 we will hold a regulation on cannabis for personal use in September,http://cndblog.org/2020/03/opening-of-the-63rd-session-of-the-commission-on-narcotic-drugs/
Uruguay,for,"<p> measures have been incorporated to strictly and restrictively regulate the tobacco market, cannabis market for non-medical purposes and alcohol market, based on criteria that prioritize public health and social welfare. </p><a href='http://cndblog.org/2020/03/opening-of-the-63rd-session-of-the-commission-on-narcotic-drugs/'>Statement in context</a>","measures have been incorporated to strictly and restrictively regulate the tobacco market, cannabis market for non-medical purposes and alcohol market, based on criteria that prioritize public health and social welfare.",http://cndblog.org/2020/03/opening-of-the-63rd-session-of-the-commission-on-narcotic-drugs/
